# N2(1/s)	Br(G)		vA		l=1		l=2		=3		l=4		l=5		Nkr
 65.72  	3.981e+05  	0.001244  	 126.4  	 229.4  	 354.5  	 515.4  	 745.7 	5
 68.88  	3.981e+05  	0.001244  	 129.6  	 235.8  	 366.0  	 535.7  	 784.0 	5
 72.19  	3.981e+05  	0.001244  	 132.8  	 242.5  	 378.0  	 557.3  	 825.9 	5
 75.67  	3.981e+05  	0.001244  	 136.1  	 249.4  	 390.6  	 580.4  	 872.1 	5
 79.31  	3.981e+05  	0.001244  	 139.5  	 256.6  	 403.8  	 605.1  	 923.3 	5
 83.12  	3.981e+05  	0.001244  	 143.0  	 264.0  	 417.7  	 631.6  	 980.3 	5
 87.12  	3.981e+05  	0.001244  	 146.6  	 271.7  	 432.3  	 660.2  	1.044e+03 	5
 91.31  	3.981e+05  	0.001244  	 150.3  	 279.7  	 447.7  	 691.0  	1.117e+03 	5
 95.71  	3.981e+05  	0.001244  	 154.1  	 288.0  	 464.0  	 724.5  	1.2e+03 	5
 100.3  	3.981e+05  	0.001244  	 158.1  	 296.7  	 481.2  	 760.9  	1.295e+03 	5
 105.1  	3.981e+05  	0.001244  	 162.1  	 305.8  	 499.4  	 800.7  	1.407e+03 	5
 110.2  	3.981e+05  	0.001244  	 166.2  	 315.2  	 518.8  	 844.5  	   nan 	4
 115.5  	3.981e+05  	0.001244  	 170.5  	 325.0  	 539.3  	 892.8  	   nan 	4
 121.1  	3.981e+05  	0.001244  	 174.9  	 335.3  	 561.2  	 946.5  	   nan 	4
 126.9  	3.981e+05  	0.001244  	 179.4  	 346.0  	 584.7  	1.007e+03  	   nan 	4
 133.0  	3.981e+05  	0.001244  	 184.1  	 357.2  	 609.8  	1.074e+03  	   nan 	4
 139.4  	3.981e+05  	0.001244  	 188.9  	 368.9  	 636.8  	1.151e+03  	   nan 	4
 146.1  	3.981e+05  	0.001244  	 193.9  	 381.2  	 665.8  	   nan  	   nan 	3
 153.1  	3.981e+05  	0.001244  	 199.0  	 394.1  	 697.3  	   nan  	   nan 	3
 160.5  	3.981e+05  	0.001244  	 204.3  	 407.6  	 731.4  	   nan  	   nan 	3
 168.2  	3.981e+05  	0.001244  	 209.8  	 421.9  	 768.7  	   nan  	   nan 	3
 176.3  	3.981e+05  	0.001244  	 215.4  	 436.9  	 809.5  	   nan  	   nan 	3
 184.8  	3.981e+05  	0.001244  	 221.3  	 452.7  	 854.4  	   nan  	   nan 	3
 193.7  	3.981e+05  	0.001244  	 227.3  	 469.4  	 904.1  	   nan  	   nan 	3
 203.0  	3.981e+05  	0.001244  	 233.6  	 487.1  	 959.5  	   nan  	   nan 	3
 212.8  	3.981e+05  	0.001244  	 240.1  	 505.8  	   nan  	   nan  	   nan 	2
 223.0  	3.981e+05  	0.001244  	 246.8  	 525.8  	   nan  	   nan  	   nan 	2
 233.7  	3.981e+05  	0.001244  	 253.8  	 547.0  	   nan  	   nan  	   nan 	2
 245.0  	3.981e+05  	0.001244  	 261.0  	 569.6  	   nan  	   nan  	   nan 	2
 256.8  	3.981e+05  	0.001244  	 268.5  	 593.9  	   nan  	   nan  	   nan 	2
 269.1  	3.981e+05  	0.001244  	 276.3  	 619.9  	   nan  	   nan  	   nan 	2
 282.1  	3.981e+05  	0.001244  	 284.5  	 647.9  	   nan  	   nan  	   nan 	2
 295.6  	3.981e+05  	0.001244  	 293.0  	 678.2  	   nan  	   nan  	   nan 	2
 309.8  	3.981e+05  	0.001244  	 301.8  	 711.0  	   nan  	   nan  	   nan 	2
 324.8  	3.981e+05  	0.001244  	 311.1  	 746.8  	   nan  	   nan  	   nan 	2
 340.4  	3.981e+05  	0.001244  	 320.7  	 786.0  	   nan  	   nan  	   nan 	2
 356.8  	3.981e+05  	0.001244  	 330.8  	 829.1  	   nan  	   nan  	   nan 	2
 373.9  	3.981e+05  	0.001244  	 341.4  	 876.8  	   nan  	   nan  	   nan 	2
 391.9  	3.981e+05  	0.001244  	 352.6  	 930.0  	   nan  	   nan  	   nan 	2
 410.8  	3.981e+05  	0.001244  	 364.3  	   nan  	   nan  	   nan  	   nan 	1
 430.5  	3.981e+05  	0.001244  	 376.6  	   nan  	   nan  	   nan  	   nan 	1
 451.2  	3.981e+05  	0.001244  	 389.5  	   nan  	   nan  	   nan  	   nan 	1
 473.0  	3.981e+05  	0.001244  	 403.2  	   nan  	   nan  	   nan  	   nan 	1
 495.7  	3.981e+05  	0.001244  	 417.7  	   nan  	   nan  	   nan  	   nan 	1
 519.6  	3.981e+05  	0.001244  	 433.0  	   nan  	   nan  	   nan  	   nan 	1
 544.6  	3.981e+05  	0.001244  	 449.2  	   nan  	   nan  	   nan  	   nan 	1
 570.8  	3.981e+05  	0.001244  	 466.3  	   nan  	   nan  	   nan  	   nan 	1
 598.2  	3.981e+05  	0.001244  	 484.6  	   nan  	   nan  	   nan  	   nan 	1
 627.0  	3.981e+05  	0.001244  	 504.0  	   nan  	   nan  	   nan  	   nan 	1
 657.2  	3.981e+05  	0.001244  	 524.7  	   nan  	   nan  	   nan  	   nan 	1
 65.72  	4.059e+05  	0.001268  	 126.5  	 230.2  	 357.0  	 521.8  	 762.0 	5
 68.88  	4.059e+05  	0.001268  	 129.7  	 236.7  	 368.7  	 542.7  	 802.5 	5
 72.19  	4.059e+05  	0.001268  	 132.9  	 243.4  	 380.9  	 565.1  	 847.0 	5
 75.67  	4.059e+05  	0.001268  	 136.3  	 250.4  	 393.8  	 589.0  	 896.3 	5
